begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
25/01/2023,27/01/2023,3,-13.1,1.9,-15.0,5.5,2023
04/02/2023,11/02/2023,8,-8.0,1.8,-11.2,6.8,2023
13/02/2023,16/02/2023,4,-10.3,1.4,-11.8,8.3,2023
06/03/2023,09/03/2023,4,-13.1,0.7,-13.9,7.0,2023
01/12/2023,07/12/2023,7,-4.9,1.7,-6.8,5.6,2023
13/12/2023,18/12/2023,6,-5.8,1.2,-7.3,5.7,2023
02/01/2024,04/01/2024,3,-11.7,1.1,-12.8,6.6,2024
20/01/2024,22/01/2024,3,-6.8,1.4,-8.4,6.3,2024
24/01/2024,26/01/2024,3,-4.9,2.5,-7.9,4.5,2024
10/02/2024,12/02/2024,3,-8.2,1.7,-10.0,6.7,2024
19/11/2024,23/11/2024,5,-4.4,0.5,-4.7,6.2,2024
06/12/2024,09/12/2024,4,-4.8,3.4,-8.4,4.4,2024
19/12/2024,23/12/2024,5,-7.6,1.5,-10.0,7.7,2024
13/01/2025,18/01/2025,6,-9.6,3.0,-13.4,4.4,2025
20/01/2025,22/01/2025,3,-6.9,1.6,-8.5,5.2,2025
24/01/2025,27/01/2025,4,-8.4,2.9,-12.3,5.0,2025
30/01/2025,01/02/2025,3,-6.0,0.2,-6.3,4.9,2025
04/02/2025,07/02/2025,4,-9.4,1.9,-11.7,5.4,2025
02/03/2025,04/03/2025,3,-7.8,1.4,-9.1,6.4,2025
05/12/2025,13/12/2025,9,-0.7,2.3,-4.7,5.9,2025
16/12/2025,24/12/2025,9,-6.7,2.9,-11.2,6.8,2025
08/01/2026,14/01/2026,7,-7.4,2.1,-10.7,5.0,2026
28/01/2026,02/02/2026,6,-7.6,4.0,-13.3,6.3,2026
05/02/2026,09/02/2026,5,-5.6,1.7,-8.3,6.0,2026
03/12/2026,11/12/2026,9,-2.2,3.4,-9.0,5.7,2026
14/12/2026,18/12/2026,5,-5.1,1.4,-6.8,4.6,2026
25/12/2026,28/12/2026,4,-5.1,1.5,-6.8,8.2,2026
13/01/2027,18/01/2027,6,-6.7,1.6,-8.4,5.1,2027
22/01/2027,26/01/2027,5,-11.1,4.3,-17.7,4.3,2027
31/01/2027,04/02/2027,5,-6.7,0.9,-7.9,4.5,2027
08/02/2027,12/02/2027,5,-7.1,1.9,-9.0,5.5,2027
19/02/2027,23/02/2027,5,-7.4,1.8,-9.6,6.7,2027
02/12/2027,04/12/2027,3,2.6,0.0,2.6,3.8,2027
08/12/2027,13/12/2027,6,1.1,1.6,-0.8,4.4,2027
17/12/2027,19/12/2027,3,-4.1,2.9,-6.3,5.2,2027
03/01/2028,06/01/2028,4,-5.9,4.4,-10.7,5.0,2028
