begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
25/06/2023,28/06/2023,4,35.0,2.2,37.2,109.3,2023
25/07/2023,27/07/2023,3,34.3,0.8,35.0,105.9,2023
02/08/2023,04/08/2023,3,35.6,1.1,36.5,110.6,2023
24/08/2023,26/08/2023,3,33.7,2.8,36.5,112.4,2023
07/06/2024,11/06/2024,5,34.6,1.8,35.9,113.8,2024
07/07/2024,10/07/2024,4,31.8,1.8,33.2,100.6,2024
13/07/2024,15/07/2024,3,30.5,1.4,32.1,91.9,2024
17/07/2024,19/07/2024,3,33.5,2.9,36.0,105.5,2024
15/07/2025,19/07/2025,5,29.6,1.3,30.9,91.1,2025
25/07/2025,31/07/2025,7,30.4,1.3,31.6,98.2,2025
03/08/2025,05/08/2025,3,30.3,2.5,33.1,94.7,2025
15/08/2025,19/08/2025,5,33.2,2.0,35.3,105.3,2025
21/08/2025,23/08/2025,3,32.0,1.0,33.1,108.5,2025
03/07/2026,06/07/2026,4,35.0,3.0,38.9,103.2,2026
08/07/2026,10/07/2026,3,32.9,1.4,34.4,108.5,2026
16/07/2026,19/07/2026,4,33.7,1.1,34.4,104.8,2026
27/07/2026,29/07/2026,3,34.2,0.6,34.9,100.5,2026
04/08/2026,06/08/2026,3,33.0,1.1,34.3,106.3,2026
29/08/2026,02/09/2026,5,35.5,0.9,36.5,106.7,2026
04/07/2027,07/07/2027,4,33.2,1.0,34.4,101.7,2027
09/07/2027,13/07/2027,5,32.8,2.4,36.0,99.8,2027
16/07/2027,24/07/2027,9,34.1,3.5,40.6,106.1,2027
30/07/2027,02/08/2027,4,33.8,0.8,34.3,101.9,2027
20/06/2028,22/06/2028,3,36.7,0.6,37.4,115.4,2028
29/06/2028,01/07/2028,3,33.3,1.0,33.8,99.6,2028
07/07/2028,09/07/2028,3,31.4,1.8,33.3,92.5,2028
12/07/2028,18/07/2028,7,33.5,2.2,37.3,103.0,2028
22/07/2028,26/07/2028,5,30.8,1.5,33.3,96.3,2028
30/05/2029,02/06/2029,4,33.3,1.5,35.0,102.4,2029
21/06/2029,26/06/2029,6,32.6,2.8,36.5,102.6,2029
03/07/2029,08/07/2029,6,34.1,2.1,35.9,110.7,2029
14/07/2029,20/07/2029,7,35.2,2.1,38.9,115.7,2029
19/08/2029,22/08/2029,4,31.7,1.4,32.5,95.9,2029
17/06/2030,19/06/2030,3,30.4,0.9,31.4,90.9,2030
29/06/2030,03/07/2030,5,32.9,1.5,34.3,104.2,2030
06/07/2030,10/07/2030,5,31.7,2.0,34.3,96.2,2030
13/07/2030,15/07/2030,3,30.5,0.3,30.8,99.4,2030
31/08/2030,06/09/2030,7,31.6,2.1,34.5,102.7,2030
25/06/2031,28/06/2031,4,35.7,2.3,37.9,111.7,2031
25/07/2031,27/07/2031,3,35.0,0.8,35.7,108.2,2031
02/08/2031,04/08/2031,3,36.2,1.2,37.1,112.8,2031
24/08/2031,26/08/2031,3,34.3,2.8,37.1,114.8,2031
07/06/2032,11/06/2032,5,35.2,1.9,36.6,116.7,2032
07/07/2032,10/07/2032,4,32.5,1.8,34.0,103.0,2032
12/07/2032,21/07/2032,10,31.7,2.5,36.8,97.9,2032
15/07/2033,19/07/2033,5,30.4,1.3,31.8,93.4,2033
25/07/2033,31/07/2033,7,31.2,1.3,32.4,101.2,2033
03/08/2033,05/08/2033,3,31.1,2.5,34.0,97.2,2033
15/08/2033,19/08/2033,5,34.0,2.0,36.1,108.1,2033
21/08/2033,23/08/2033,3,32.8,1.0,34.0,111.9,2033
03/07/2034,06/07/2034,4,35.7,3.0,39.7,105.4,2034
08/07/2034,10/07/2034,3,33.5,1.4,35.1,111.2,2034
16/07/2034,19/07/2034,4,34.4,1.1,35.1,107.3,2034
27/07/2034,29/07/2034,3,34.8,0.6,35.6,102.6,2034
04/08/2034,06/08/2034,3,33.6,1.1,34.9,108.7,2034
