begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
09/01/2025,12/01/2025,4,-4.2,1.1,-5.6,1.7,2025
22/01/2025,02/02/2025,12,-6.8,2.4,-11.2,1.6,2025
05/02/2025,08/02/2025,4,-7.8,2.5,-10.5,2.1,2025
13/02/2025,16/02/2025,4,-4.8,2.4,-8.4,2.2,2025
14/12/2025,16/12/2025,3,-4.6,1.4,-6.2,1.8,2025
01/01/2026,05/01/2026,5,-5.0,2.5,-8.2,1.6,2026
10/01/2026,12/01/2026,3,-5.0,1.3,-5.9,1.7,2026
14/01/2026,17/01/2026,4,-7.0,1.8,-9.0,2.4,2026
29/01/2026,31/01/2026,3,-5.8,0.7,-6.6,1.1,2026
15/02/2026,17/02/2026,3,-6.9,1.9,-8.7,1.8,2026
26/02/2026,28/02/2026,3,-5.3,1.3,-6.8,2.2,2026
01/01/2027,05/01/2027,5,-8.9,2.6,-11.7,1.6,2027
07/01/2027,12/01/2027,6,-6.6,2.1,-8.6,1.7,2027
11/02/2027,13/02/2027,3,-4.7,2.0,-6.7,4.5,2027
25/02/2027,28/02/2027,4,-10.5,1.3,-12.3,2.0,2027
12/11/2027,14/11/2027,3,-7.4,0.3,-7.7,2.1,2027
17/01/2028,27/01/2028,11,-8.7,1.6,-11.5,1.6,2028
09/02/2028,12/02/2028,4,-7.0,2.1,-9.4,3.5,2028
15/01/2029,24/01/2029,10,-9.0,3.2,-15.1,1.9,2029
27/01/2029,01/02/2029,6,-7.9,3.5,-13.0,1.4,2029
03/02/2029,07/02/2029,5,-5.2,2.2,-8.3,2.2,2029
26/02/2029,28/02/2029,3,-2.6,1.5,-4.3,2.2,2029
03/12/2029,07/12/2029,5,-4.0,2.1,-6.9,1.8,2029
01/01/2030,03/01/2030,3,-4.4,1.9,-5.9,1.5,2030
23/01/2030,29/01/2030,7,-6.7,1.8,-8.4,1.7,2030
01/02/2030,03/02/2030,3,-3.6,1.5,-5.4,1.4,2030
01/01/2031,04/01/2031,4,-7.6,0.6,-8.2,1.4,2031
12/01/2031,14/01/2031,3,-3.7,1.4,-5.3,2.0,2031
19/01/2031,22/01/2031,4,-5.7,1.1,-7.0,1.5,2031
25/01/2031,27/01/2031,3,-4.8,2.7,-7.8,1.6,2031
22/02/2031,24/02/2031,3,-5.7,2.8,-8.6,1.5,2031
12/01/2032,17/01/2032,6,-3.3,0.9,-4.7,2.2,2032
26/01/2032,29/01/2032,4,-7.5,2.2,-9.3,1.7,2032
16/02/2032,22/02/2032,7,-3.4,1.3,-5.8,1.8,2032
01/12/2032,04/12/2032,4,-3.9,1.1,-5.2,1.7,2032
07/01/2033,09/01/2033,3,-3.1,0.1,-3.2,1.8,2033
25/01/2033,28/01/2033,4,-7.4,1.7,-8.6,1.8,2033
04/02/2033,06/02/2033,3,-7.6,3.0,-10.0,2.4,2033
08/02/2033,11/02/2033,4,-9.7,2.2,-12.4,2.9,2033
13/02/2033,15/02/2033,3,-5.0,2.7,-8.0,2.5,2033
03/01/2034,05/01/2034,3,-7.4,2.8,-10.6,1.6,2034
13/01/2034,15/01/2034,3,-4.4,0.8,-5.2,2.6,2034
21/01/2034,24/01/2034,4,-5.7,0.6,-6.3,1.9,2034
03/02/2034,05/02/2034,3,-6.5,0.2,-6.7,2.2,2034
24/02/2034,28/02/2034,5,-7.1,2.2,-9.2,1.8,2034
03/12/2034,05/12/2034,3,-5.3,0.9,-6.4,2.0,2034
02/01/2035,06/01/2035,5,-3.7,0.8,-4.8,1.8,2035
15/01/2035,19/01/2035,5,-6.8,1.5,-8.7,1.9,2035
29/01/2035,31/01/2035,3,-3.0,0.2,-3.2,1.1,2035
10/02/2035,17/02/2035,8,-5.8,2.2,-9.0,2.9,2035
24/02/2035,28/02/2035,5,-6.1,3.3,-9.9,1.8,2035
06/01/2036,08/01/2036,3,-4.0,0.6,-4.6,2.0,2036
10/01/2036,13/01/2036,4,-5.7,1.2,-6.8,1.7,2036
15/01/2036,19/01/2036,5,-7.5,2.3,-10.0,1.9,2036
21/01/2036,28/01/2036,8,-6.0,1.4,-7.4,1.8,2036
22/02/2036,24/02/2036,3,-4.8,1.0,-5.8,1.5,2036
01/01/2037,06/01/2037,6,-6.4,3.1,-9.9,1.8,2037
08/01/2037,11/01/2037,4,-5.2,3.1,-8.2,1.6,2037
