begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
24/07/2025,31/07/2025,8,33.2,2.3,38.5,95.7,2025
04/08/2025,07/08/2025,4,31.9,1.9,34.7,101.4,2025
10/08/2025,13/08/2025,4,32.3,2.5,35.8,98.1,2025
20/08/2025,22/08/2025,3,32.8,1.6,34.4,99.7,2025
27/08/2025,31/08/2025,5,33.9,2.2,37.8,106.3,2025
04/07/2026,08/07/2026,5,36.3,1.1,37.1,101.9,2026
10/07/2026,13/07/2026,4,33.6,2.5,37.1,96.4,2026
23/07/2026,31/07/2026,9,34.9,2.0,38.8,99.1,2026
01/07/2027,05/07/2027,5,34.0,2.2,35.8,101.2,2027
14/07/2027,18/07/2027,5,34.2,1.4,36.3,99.7,2027
23/07/2027,30/07/2027,8,33.4,1.9,35.5,98.1,2027
18/08/2027,20/08/2027,3,34.2,0.9,35.1,109.8,2027
05/07/2028,08/07/2028,4,36.0,2.1,38.8,102.4,2028
17/07/2028,19/07/2028,3,33.0,1.0,33.6,97.1,2028
28/07/2028,30/07/2028,3,33.9,1.8,35.9,99.5,2028
16/08/2028,18/08/2028,3,31.9,1.0,33.0,98.2,2028
26/08/2028,28/08/2028,3,32.6,1.0,33.7,107.5,2028
03/07/2029,13/07/2029,11,34.7,2.0,38.1,100.9,2029
16/07/2029,22/07/2029,7,34.3,2.4,38.5,102.2,2029
27/08/2029,30/08/2029,4,32.0,1.0,33.0,102.6,2029
08/06/2030,11/06/2030,4,33.8,1.1,35.4,97.6,2030
05/07/2030,10/07/2030,6,38.2,2.6,41.5,107.2,2030
14/07/2030,20/07/2030,7,36.8,3.2,40.8,107.2,2030
24/07/2030,28/07/2030,5,34.0,1.5,35.5,101.0,2030
03/08/2030,06/08/2030,4,33.4,0.9,34.3,101.1,2030
20/08/2030,22/08/2030,3,33.5,1.4,34.9,111.1,2030
24/06/2031,26/06/2031,3,35.1,1.3,36.3,101.9,2031
06/07/2031,08/07/2031,3,33.3,0.9,34.0,95.0,2031
15/07/2031,19/07/2031,5,35.7,3.0,38.7,100.1,2031
25/07/2031,28/07/2031,4,33.6,1.5,35.0,98.4,2031
22/08/2031,24/08/2031,3,32.9,0.6,33.5,94.7,2031
06/07/2032,08/07/2032,3,32.4,1.1,33.7,92.9,2032
12/07/2032,15/07/2032,4,33.0,0.9,33.9,97.9,2032
17/07/2032,22/07/2032,6,35.0,2.7,38.4,100.8,2032
