begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
12/01/2009,18/01/2009,7,-10.0,3.2,-14.4,4.2,2009
24/01/2009,26/01/2009,3,-10.5,2.4,-13.3,5.6,2009
04/02/2009,07/02/2009,4,-10.7,1.9,-12.8,5.6,2009
02/03/2009,04/03/2009,3,-8.7,1.4,-10.0,6.5,2009
05/12/2009,13/12/2009,9,-1.6,2.3,-5.6,6.0,2009
16/12/2009,24/12/2009,9,-7.8,3.0,-12.2,6.9,2009
08/01/2010,14/01/2010,7,-8.6,2.3,-11.7,5.0,2010
28/01/2010,02/02/2010,6,-8.8,4.0,-14.4,6.2,2010
05/02/2010,09/02/2010,5,-6.7,1.9,-9.4,6.0,2010
03/12/2010,10/12/2010,8,-3.3,3.6,-10.0,6.0,2010
14/12/2010,17/12/2010,4,-6.5,0.9,-7.8,5.1,2010
25/12/2010,28/12/2010,4,-6.0,1.8,-7.8,8.3,2010
13/01/2011,18/01/2011,6,-7.6,1.5,-9.4,5.1,2011
22/01/2011,26/01/2011,5,-12.2,4.5,-18.9,4.3,2011
31/01/2011,04/02/2011,5,-7.9,1.0,-8.9,4.5,2011
08/02/2011,11/02/2011,4,-8.7,1.2,-10.0,5.5,2011
19/02/2011,22/02/2011,4,-9.2,1.3,-10.6,7.3,2011
02/12/2011,04/12/2011,3,0.6,0.5,0.1,3.7,2011
08/12/2011,13/12/2011,6,0.0,1.5,-1.7,4.4,2011
17/12/2011,19/12/2011,3,-5.2,2.6,-7.2,5.1,2011
03/01/2012,06/01/2012,4,-7.0,4.6,-11.7,4.9,2012
14/01/2012,16/01/2012,3,-11.1,3.5,-13.9,6.6,2012
18/01/2012,23/01/2012,6,-6.5,2.6,-9.4,4.6,2012
03/02/2012,06/02/2012,4,-3.5,1.6,-5.6,4.9,2012
28/12/2012,31/12/2012,4,-3.8,2.5,-6.1,6.2,2012
01/01/2013,03/01/2013,3,-10.6,3.6,-13.9,5.8,2013
22/01/2013,28/01/2013,7,-11.0,3.0,-15.6,5.8,2013
11/12/2013,14/12/2013,4,-8.0,3.1,-11.7,5.7,2013
16/12/2013,18/12/2013,3,-8.9,3.4,-12.8,5.5,2013
02/01/2014,04/01/2014,3,-16.6,0.5,-17.0,6.9,2014
07/01/2014,10/01/2014,4,-10.1,3.4,-13.9,5.2,2014
21/01/2014,26/01/2014,6,-11.8,2.4,-14.4,6.5,2014
28/01/2014,30/01/2014,3,-9.4,1.2,-10.6,4.8,2014
26/02/2014,01/03/2014,4,-10.3,1.6,-12.2,4.9,2014
05/01/2015,08/01/2015,4,-12.8,4.7,-18.3,7.1,2015
13/02/2015,16/02/2015,4,-16.5,2.6,-19.0,7.4,2015
23/02/2015,01/03/2015,7,-11.3,3.3,-16.7,4.3,2015
05/03/2015,07/03/2015,3,-9.6,2.8,-12.8,5.1,2015
19/12/2015,21/12/2015,3,0.4,0.5,0.1,6.2,2015
28/12/2015,30/12/2015,3,-3.2,1.3,-4.0,5.6,2015
04/01/2016,06/01/2016,3,-9.8,3.6,-13.3,4.8,2016
12/01/2016,14/01/2016,3,-5.8,0.3,-6.1,6.1,2016
18/01/2016,24/01/2016,7,-7.3,0.9,-8.9,7.3,2016
08/02/2016,15/02/2016,8,-12.7,6.4,-22.8,5.8,2016
04/12/2016,06/12/2016,3,-0.1,0.5,-0.6,3.9,2016
08/12/2016,12/12/2016,5,-3.7,2.9,-6.7,5.1,2016
14/12/2016,17/12/2016,4,-8.2,6.0,-15.6,6.2,2016
07/01/2017,10/01/2017,4,-9.7,1.7,-11.7,5.3,2017
