begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
17/07/2009,19/07/2009,3,28.5,0.8,29.4,88.7,2009
25/07/2009,30/07/2009,6,29.2,0.7,30.0,94.3,2009
03/08/2009,05/08/2009,3,28.9,2.4,31.7,91.5,2009
15/08/2009,19/08/2009,5,31.6,2.1,33.9,101.0,2009
21/08/2009,23/08/2009,3,29.8,1.7,31.7,99.2,2009
03/07/2010,06/07/2010,4,33.4,2.9,37.2,100.3,2010
08/07/2010,10/07/2010,3,31.3,1.4,32.8,102.9,2010
16/07/2010,19/07/2010,4,32.1,1.0,32.8,100.2,2010
27/07/2010,29/07/2010,3,32.6,0.6,33.3,99.3,2010
04/08/2010,06/08/2010,3,31.5,1.2,32.8,101.4,2010
29/08/2010,02/09/2010,5,33.6,0.9,34.4,103.8,2010
04/07/2011,07/07/2011,4,31.6,1.0,32.8,99.9,2011
09/07/2011,13/07/2011,5,31.3,2.4,34.4,97.4,2011
16/07/2011,23/07/2011,8,32.8,3.4,38.9,103.2,2011
30/07/2011,02/08/2011,4,32.1,0.8,32.8,98.5,2011
03/09/2011,05/09/2011,3,29.5,0.5,30.0,93.6,2011
20/06/2012,22/06/2012,3,35.0,0.6,35.6,115.4,2012
29/06/2012,01/07/2012,3,31.7,0.9,32.2,94.7,2012
12/07/2012,18/07/2012,7,31.7,2.2,35.6,98.2,2012
22/07/2012,24/07/2012,3,29.8,1.6,31.7,95.2,2012
30/05/2013,02/06/2013,4,32.1,1.5,33.9,99.4,2013
22/06/2013,26/06/2013,5,31.5,2.5,34.4,101.4,2013
03/07/2013,08/07/2013,6,32.3,2.1,34.4,105.0,2013
14/07/2013,20/07/2013,7,33.5,2.0,37.2,111.0,2013
19/08/2013,22/08/2013,4,30.3,1.3,31.1,93.4,2013
17/06/2014,19/06/2014,3,29.1,0.9,30.0,88.2,2014
29/06/2014,03/07/2014,5,31.3,1.3,32.8,99.2,2014
06/07/2014,10/07/2014,5,30.2,1.9,32.8,92.8,2014
13/07/2014,15/07/2014,3,29.1,0.3,29.4,95.3,2014
31/08/2014,06/09/2014,7,30.3,2.2,33.3,98.5,2014
26/05/2015,28/05/2015,3,29.4,0.6,30.0,91.1,2015
29/07/2015,05/08/2015,8,31.0,1.0,32.8,96.0,2015
14/08/2015,17/08/2015,4,31.0,1.5,32.2,97.8,2015
07/09/2015,09/09/2015,3,33.9,0.6,34.4,109.3,2015
21/07/2016,28/07/2016,8,32.7,2.0,36.1,99.1,2016
05/08/2016,07/08/2016,3,31.1,0.6,31.7,96.0,2016
24/08/2016,26/08/2016,3,31.1,0.9,32.2,98.9,2016
17/05/2017,19/05/2017,3,33.3,1.7,35.0,101.8,2017
10/06/2017,13/06/2017,4,32.8,2.7,35.0,101.4,2017
19/06/2017,25/06/2017,7,29.5,1.4,32.0,93.4,2017
30/06/2017,03/07/2017,4,30.0,1.2,31.1,94.0,2017
19/07/2017,21/07/2017,3,32.4,0.3,32.8,101.9,2017
20/08/2017,22/08/2017,3,30.2,2.0,32.2,95.4,2017
29/06/2018,01/07/2018,3,31.7,1.1,32.8,101.6,2018
03/07/2018,05/07/2018,3,33.5,2.8,36.1,114.0,2018
05/08/2018,07/08/2018,3,33.3,2.9,35.0,109.3,2018
27/08/2018,30/08/2018,4,34.2,2.0,36.1,114.0,2018
03/09/2018,06/09/2018,4,33.5,2.7,36.1,114.8,2018
09/07/2019,11/07/2019,3,30.6,0.6,31.1,94.4,2019
13/07/2019,17/07/2019,5,31.8,1.3,33.3,100.4,2019
19/07/2019,21/07/2019,3,35.0,1.5,36.1,114.0,2019
28/07/2019,01/08/2019,5,33.4,1.7,35.0,109.2,2019
18/06/2020,21/06/2020,4,30.8,1.3,32.8,96.5,2020
23/06/2020,26/06/2020,4,29.8,0.6,30.6,92.9,2020
18/07/2020,21/07/2020,4,33.2,1.3,35.0,105.0,2020
26/07/2020,30/07/2020,5,32.3,2.1,35.0,98.7,2020
09/08/2020,12/08/2020,4,32.6,0.9,33.9,106.8,2020
05/06/2021,09/06/2021,5,33.4,1.2,34.4,108.7,2021
19/06/2021,22/06/2021,4,31.1,0.8,32.2,97.9,2021
26/06/2021,30/06/2021,5,34.1,3.1,36.7,114.3,2021
11/08/2021,14/08/2021,4,33.6,1.2,35.0,112.7,2021
24/08/2021,27/08/2021,4,32.6,2.1,35.0,107.5,2021
01/07/2022,03/07/2022,3,30.7,1.8,32.8,95.0,2022
19/07/2022,25/07/2022,7,33.7,1.8,37.2,106.9,2022
28/07/2022,30/07/2022,3,31.3,1.3,32.8,96.2,2022
04/08/2022,09/08/2022,6,35.5,1.4,36.7,122.4,2022
19/08/2022,21/08/2022,3,31.5,1.7,33.3,95.2,2022
29/08/2022,31/08/2022,3,31.1,1.7,32.8,100.7,2022
11/07/2023,13/07/2023,3,31.1,0.6,31.7,98.7,2023
17/07/2023,19/07/2023,3,30.0,1.5,31.7,96.1,2023
23/07/2023,29/07/2023,7,30.3,1.3,32.8,97.4,2023
08/08/2023,10/08/2023,3,29.0,0.6,29.4,90.7,2023
05/09/2023,08/09/2023,4,30.0,1.4,31.7,97.2,2023
