begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
02/01/2025,05/01/2025,4,2.5,1.0,1.5,1.9,2025
14/01/2025,17/01/2025,4,2.8,0.5,2.2,1.8,2025
07/02/2025,09/02/2025,3,1.4,2.1,-0.9,2.7,2025
05/01/2026,10/01/2026,6,2.9,2.0,-0.3,1.9,2026
26/02/2026,28/02/2026,3,3.4,2.1,1.0,2.4,2026
09/12/2026,11/12/2026,3,1.6,1.5,0.3,2.0,2026
06/01/2027,10/01/2027,5,2.5,2.2,-1.4,1.7,2027
03/02/2027,05/02/2027,3,3.2,2.1,0.8,3.5,2027
20/12/2027,22/12/2027,3,4.6,0.8,3.7,1.7,2027
25/12/2027,28/12/2027,4,4.0,1.1,2.4,2.6,2027
07/01/2028,11/01/2028,5,1.9,2.4,-1.0,1.8,2028
05/12/2028,08/12/2028,4,2.8,1.9,0.0,1.8,2028
23/12/2028,25/12/2028,3,0.0,5.0,-5.7,2.2,2028
03/01/2029,08/01/2029,6,3.2,1.4,0.9,1.8,2029
20/01/2029,22/01/2029,3,3.2,1.7,2.0,2.9,2029
15/02/2029,18/02/2029,4,4.3,1.1,2.8,2.1,2029
06/12/2029,08/12/2029,3,4.3,1.2,3.1,1.7,2029
21/12/2029,23/12/2029,3,3.2,1.1,2.2,1.8,2029
03/01/2030,05/01/2030,3,1.2,0.9,0.1,2.1,2030
17/01/2030,19/01/2030,3,2.3,1.8,1.2,2.0,2030
09/02/2030,12/02/2030,4,3.4,0.9,2.2,2.9,2030
15/02/2030,17/02/2030,3,1.6,2.0,-0.6,2.1,2030
08/12/2030,10/12/2030,3,3.1,2.9,-0.2,1.6,2030
26/12/2030,28/12/2030,3,3.3,1.3,2.4,2.5,2030
03/01/2031,05/01/2031,3,3.6,1.5,2.2,2.1,2031
02/12/2031,04/12/2031,3,3.7,0.8,2.8,1.8,2031
06/12/2031,08/12/2031,3,3.9,1.6,2.2,1.7,2031
11/12/2031,14/12/2031,4,4.4,1.7,1.9,1.9,2031
06/01/2032,08/01/2032,3,2.6,1.6,1.4,1.5,2032
11/01/2032,14/01/2032,4,3.7,0.7,3.2,2.3,2032
30/11/2032,02/12/2032,3,3.3,1.5,1.6,2.8,2032
07/12/2032,10/12/2032,4,2.6,1.5,1.0,1.7,2032
24/12/2032,26/12/2032,3,2.3,2.7,-0.7,2.2,2032
09/01/2033,11/01/2033,3,1.7,2.6,-0.7,2.1,2033
13/01/2033,15/01/2033,3,4.2,0.8,3.4,1.9,2033
21/02/2033,25/02/2033,5,3.8,1.3,2.3,3.6,2033
16/12/2033,18/12/2033,3,2.9,1.9,1.2,1.6,2033
28/12/2033,30/12/2033,3,2.5,2.6,-0.5,2.3,2033
08/01/2034,14/01/2034,7,2.9,1.5,1.0,2.0,2034
16/01/2034,18/01/2034,3,0.3,3.5,-3.3,1.9,2034
09/12/2034,12/12/2034,4,3.6,1.1,2.2,1.9,2034
20/12/2034,22/12/2034,3,3.0,2.0,0.7,1.7,2034
24/12/2034,26/12/2034,3,3.2,1.8,1.4,2.2,2034
29/12/2034,31/12/2034,3,3.7,2.8,0.4,2.3,2034
17/01/2035,19/01/2035,3,4.1,1.0,3.2,2.0,2035
19/02/2035,23/02/2035,5,2.1,2.4,-0.8,3.0,2035
05/12/2035,09/12/2035,5,3.4,1.4,1.5,1.7,2035
28/12/2035,31/12/2035,4,4.0,1.9,1.1,2.4,2035
20/01/2036,22/01/2036,3,4.7,0.6,4.2,2.9,2036
06/12/2036,10/12/2036,5,2.6,1.9,0.4,1.8,2036
12/12/2036,16/12/2036,5,2.0,2.1,-1.1,1.6,2036
23/12/2036,25/12/2036,3,2.8,2.3,0.2,2.2,2036
27/12/2036,29/12/2036,3,3.3,0.5,2.8,2.4,2036
11/01/2037,13/01/2037,3,2.6,2.7,-0.4,2.4,2037
14/12/2037,17/12/2037,4,2.0,2.3,-1.0,1.4,2037
28/12/2037,30/12/2037,3,4.3,1.4,2.7,2.3,2037
14/01/2038,16/01/2038,3,4.5,0.8,3.9,2.0,2038
04/12/2038,07/12/2038,4,2.9,1.8,0.6,1.9,2038
10/12/2038,12/12/2038,3,2.3,2.2,-0.2,2.2,2038
29/12/2038,31/12/2038,3,3.7,1.2,3.0,2.3,2038
16/01/2039,18/01/2039,3,3.2,2.0,1.4,1.9,2039
27/01/2039,31/01/2039,5,3.1,2.1,0.6,1.6,2039
05/12/2040,08/12/2040,4,3.6,3.1,-0.9,1.8,2040
11/01/2041,13/01/2041,3,4.4,1.6,2.7,2.4,2041
20/01/2041,22/01/2041,3,3.1,1.6,1.2,2.9,2041
01/02/2041,04/02/2041,4,3.4,2.0,1.9,2.8,2041
07/12/2041,09/12/2041,3,4.5,1.6,3.1,1.3,2041
22/12/2041,25/12/2041,4,3.3,2.5,1.0,2.0,2041
03/01/2042,05/01/2042,3,4.4,1.4,2.8,2.1,2042
29/01/2042,31/01/2042,3,4.6,1.1,3.3,1.7,2042
03/12/2042,06/12/2042,4,3.7,1.1,2.1,1.8,2042
20/12/2042,22/12/2042,3,2.9,0.6,2.3,1.7,2042
21/01/2043,24/01/2043,4,3.0,1.3,1.7,2.5,2043
26/01/2043,28/01/2043,3,2.5,1.5,1.5,1.4,2043
11/12/2043,14/12/2043,4,2.2,1.7,0.6,1.9,2043
24/12/2043,26/12/2043,3,2.9,1.3,1.7,2.2,2043
29/12/2043,31/12/2043,3,3.3,2.6,0.3,2.3,2043
08/12/2044,10/12/2044,3,4.2,0.6,3.6,1.6,2044
12/12/2044,15/12/2044,4,2.5,0.9,1.3,1.7,2044
26/12/2044,28/12/2044,3,3.2,2.8,0.0,2.5,2044
07/02/2045,09/02/2045,3,3.1,2.4,0.4,2.7,2045
24/02/2045,26/02/2045,3,2.7,1.5,1.1,3.4,2045
09/12/2045,11/12/2045,3,4.4,1.1,3.3,2.0,2045
21/12/2045,24/12/2045,4,3.4,2.3,0.2,1.8,2045
26/12/2046,28/12/2046,3,2.2,3.4,-1.6,2.5,2046
09/01/2047,11/01/2047,3,3.6,1.6,1.8,2.1,2047
05/12/2047,09/12/2047,5,3.8,0.9,2.6,1.7,2047
21/12/2047,23/12/2047,3,3.5,1.6,2.0,1.8,2047
27/12/2047,30/12/2047,4,2.4,2.4,-0.3,2.4,2047
23/02/2048,28/02/2048,6,3.7,2.8,-1.1,2.6,2048
03/12/2048,07/12/2048,5,3.0,3.0,-1.8,1.8,2048
11/12/2048,15/12/2048,5,4.3,1.6,2.3,1.8,2048
10/01/2049,14/01/2049,5,2.5,2.8,-2.1,2.2,2049
17/12/2049,20/12/2049,4,3.8,0.4,3.3,1.8,2049
25/12/2049,27/12/2049,3,4.2,1.6,2.5,2.6,2049
05/01/2050,07/01/2050,3,3.1,1.9,1.0,2.2,2050
09/01/2050,11/01/2050,3,2.4,2.7,0.6,2.1,2050
17/01/2050,19/01/2050,3,3.2,1.0,2.4,2.0,2050
31/01/2050,02/02/2050,3,3.6,2.2,1.2,1.7,2050
16/02/2050,18/02/2050,3,3.4,1.2,2.6,2.1,2050
22/12/2050,24/12/2050,3,3.1,3.1,-0.4,1.7,2050
02/01/2051,04/01/2051,3,4.4,0.6,3.8,1.5,2051
