begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
02/05/2025,06/05/2025,5,38.0,2.3,40.0,95.8,2025
20/05/2025,24/05/2025,5,39.1,1.9,41.9,99.1,2025
24/06/2025,30/06/2025,7,44.4,2.0,48.5,106.4,2025
09/07/2025,11/07/2025,3,43.6,0.7,44.4,122.3,2025
14/08/2025,17/08/2025,4,47.4,2.2,50.5,117.0,2025
04/05/2026,07/05/2026,4,38.0,1.9,39.6,96.1,2026
17/05/2026,23/05/2026,7,37.1,1.5,39.3,95.2,2026
25/05/2026,29/05/2026,5,39.5,1.4,40.6,100.0,2026
02/06/2026,04/06/2026,3,44.5,0.9,45.5,107.8,2026
15/06/2026,19/06/2026,5,43.7,0.2,43.9,106.2,2026
25/06/2026,27/06/2026,3,45.2,1.6,46.6,112.6,2026
03/07/2026,05/07/2026,3,44.8,0.8,45.5,116.6,2026
08/07/2026,10/07/2026,3,45.8,1.6,47.6,116.7,2026
08/08/2026,12/08/2026,5,45.3,1.2,46.7,124.8,2026
18/08/2026,20/08/2026,3,45.3,1.5,47.0,126.6,2026
16/09/2026,03/10/2026,18,39.4,2.8,45.8,105.0,2026
22/10/2026,26/10/2026,5,36.2,0.9,37.5,93.8,2026
03/05/2027,07/05/2027,5,36.0,0.7,36.9,92.6,2027
09/05/2027,20/05/2027,12,40.8,4.2,48.8,100.5,2027
06/06/2027,09/06/2027,4,44.1,0.6,44.6,108.7,2027
12/06/2027,14/06/2027,3,45.2,1.7,46.8,112.7,2027
28/06/2027,01/07/2027,4,44.6,1.3,46.2,110.9,2027
13/07/2027,19/07/2027,7,46.0,2.1,49.0,123.9,2027
06/10/2027,08/10/2027,3,37.6,2.3,40.3,98.2,2027
01/05/2028,03/05/2028,3,39.8,3.2,43.2,99.1,2028
23/05/2028,26/05/2028,4,40.2,1.5,42.3,99.4,2028
03/07/2028,07/07/2028,5,44.7,1.0,45.9,115.7,2028
19/07/2028,21/07/2028,3,43.6,0.2,43.8,140.8,2028
05/08/2028,12/08/2028,8,46.0,2.1,49.9,119.6,2028
14/10/2028,27/10/2028,14,38.5,3.5,48.3,102.0,2028
09/04/2029,12/04/2029,4,38.7,2.7,42.1,96.6,2029
30/04/2029,06/05/2029,7,38.8,2.6,42.3,98.5,2029
09/05/2029,13/05/2029,5,37.9,1.6,40.0,95.4,2029
19/05/2029,21/05/2029,3,41.1,3.5,45.1,105.4,2029
