begin_date,end_date,duration,avg_tmin,std_tmin,min_tmin,avg_wind_speed,year
05/01/2009,09/01/2009,5,5.8,0.5,5.0,1.8,2009
27/01/2009,29/01/2009,3,5.4,0.4,5.0,1.7,2009
01/12/2009,04/12/2009,4,6.8,2.0,3.9,2.4,2009
04/12/2009,06/12/2009,3,4.2,0.3,3.9,2.0,2009
08/12/2009,11/12/2009,4,4.8,1.2,3.3,1.9,2009
23/12/2009,27/12/2009,5,4.2,1.1,3.3,1.6,2009
01/01/2010,06/01/2010,6,7.0,1.1,5.0,1.3,2010
23/01/2010,26/01/2010,4,6.8,1.5,5.0,1.8,2010
10/03/2010,12/03/2010,3,7.4,0.8,6.7,2.4,2010
23/11/2010,02/12/2010,10,6.0,1.8,2.2,1.9,2010
28/12/2010,31/12/2010,4,5.0,3.9,0.0,3.8,2010
01/01/2011,06/01/2011,6,2.6,2.3,-0.6,1.1,2011
01/02/2011,06/02/2011,6,1.7,2.6,-1.1,3.3,2011
04/12/2011,09/12/2011,6,4.0,0.9,2.2,1.5,2011
23/12/2011,28/12/2011,6,4.2,0.7,3.3,1.4,2011
18/01/2012,20/01/2012,3,6.5,0.4,6.1,1.6,2012
19/12/2012,21/12/2012,3,6.3,1.4,5.0,3.6,2012
26/12/2012,29/12/2012,4,4.7,1.4,3.3,1.8,2012
01/01/2013,05/01/2013,5,3.8,1.2,2.2,2.3,2013
11/01/2013,17/01/2013,7,0.9,2.5,-1.7,2.2,2013
20/02/2013,23/02/2013,4,5.0,1.0,3.9,2.8,2013
03/12/2013,05/12/2013,3,8.7,2.2,6.1,3.3,2013
07/12/2013,09/12/2013,3,4.6,3.2,2.8,2.8,2013
05/01/2014,14/01/2014,10,6.5,0.9,5.0,1.6,2014
24/11/2014,27/11/2014,4,7.5,1.0,6.1,2.1,2014
19/12/2014,21/12/2014,3,7.8,0.5,7.2,1.6,2014
24/12/2014,31/12/2014,8,4.2,2.3,2.2,7.5,2014
01/01/2015,06/01/2015,6,3.2,3.0,0.0,1.7,2015
24/02/2015,27/02/2015,4,10.2,1.0,8.9,3.5,2015
17/11/2015,19/11/2015,3,7.4,0.3,7.2,1.9,2015
27/11/2015,03/12/2015,7,5.4,0.9,4.4,1.6,2015
13/12/2015,18/12/2015,6,3.9,1.5,2.2,8.9,2015
20/12/2015,22/12/2015,3,7.4,0.6,6.7,2.4,2015
25/12/2015,31/12/2015,7,3.6,1.8,1.7,2.5,2015
08/01/2016,17/01/2016,10,5.8,1.1,4.4,1.9,2016
26/01/2016,28/01/2016,3,7.0,0.8,6.1,2.1,2016
02/02/2016,06/02/2016,5,4.4,1.9,2.2,2.4,2016
29/11/2016,01/12/2016,3,5.9,0.9,5.0,2.2,2016
01/12/2016,03/12/2016,3,7.0,1.1,6.1,2.3,2016
03/12/2016,06/12/2016,4,6.8,0.9,5.6,1.9,2016
17/12/2016,19/12/2016,3,5.6,1.7,3.9,3.3,2016
24/12/2016,27/12/2016,4,5.6,1.6,3.9,2.2,2016
24/01/2017,29/01/2017,6,3.9,1.5,2.2,2.6,2017
12/12/2017,14/12/2017,3,8.3,0.6,7.8,2.5,2017
19/12/2017,29/12/2017,11,6.4,1.5,3.3,2.1,2017
21/01/2018,23/01/2018,3,5.2,0.4,5.0,2.4,2018
20/02/2018,01/03/2018,10,5.7,1.2,3.9,2.6,2018
17/12/2018,20/12/2018,4,7.6,0.3,7.2,1.7,2018
26/12/2018,31/12/2018,6,4.1,2.2,2.2,2.4,2018
01/01/2019,04/01/2019,4,1.4,2.0,-1.1,1.6,2019
22/01/2019,26/01/2019,5,5.3,0.9,4.4,1.7,2019
06/02/2019,08/02/2019,3,4.1,1.8,2.8,3.3,2019
10/02/2019,12/02/2019,3,4.6,1.3,3.9,1.9,2019
17/02/2019,26/02/2019,10,4.2,1.8,1.7,2.8,2019
28/12/2019,30/12/2019,3,3.7,1.4,2.2,3.2,2019
01/01/2020,07/01/2020,7,5.8,0.5,5.0,1.6,2020
10/01/2020,14/01/2020,5,5.6,0.8,5.0,2.2,2020
04/02/2020,07/02/2020,4,3.1,1.3,2.2,2.6,2020
04/12/2020,06/12/2020,3,6.1,0.6,5.6,1.6,2020
15/12/2020,21/12/2020,7,5.3,0.6,4.4,1.3,2020
23/12/2020,25/12/2020,3,5.4,1.3,3.9,2.3,2020
01/01/2021,10/01/2021,10,5.5,0.9,4.4,1.9,2021
12/01/2021,14/01/2021,3,5.6,1.2,4.4,1.7,2021
25/01/2021,27/01/2021,3,5.0,0.6,4.4,4.3,2021
17/02/2021,19/02/2021,3,7.1,0.3,6.7,2.8,2021
15/12/2021,19/12/2021,5,5.5,1.1,4.4,1.8,2021
01/01/2022,06/01/2022,6,4.9,1.5,2.2,2.3,2022
23/02/2022,26/02/2022,4,5.2,1.0,3.9,2.5,2022
13/12/2022,17/12/2022,5,4.7,1.2,3.3,1.9,2022
19/12/2022,22/12/2022,4,5.3,1.0,4.4,1.5,2022
18/01/2023,29/01/2023,12,4.4,1.6,2.2,5.9,2023
07/02/2023,09/02/2023,3,6.7,0.6,6.1,2.9,2023
14/02/2023,16/02/2023,3,4.6,2.3,2.2,4.2,2023
26/02/2023,04/03/2023,7,6.1,0.7,5.0,3.2,2023
27/12/2023,29/12/2023,3,6.8,0.6,6.1,1.5,2023
