begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
20/04/2009,22/04/2009,3,36.3,1.3,37.8,92.6,2009
05/05/2009,19/05/2009,15,38.6,1.4,41.1,97.6,2009
24/05/2009,04/06/2009,12,37.7,1.7,41.0,95.6,2009
09/07/2009,14/07/2009,6,44.0,1.0,45.0,111.3,2009
16/07/2009,20/07/2009,5,44.3,0.9,45.0,115.9,2009
26/07/2009,29/07/2009,4,44.0,1.6,45.6,115.7,2009
31/07/2009,06/08/2009,7,43.3,0.8,44.4,109.3,2009
14/08/2009,21/08/2009,8,41.3,1.0,42.8,107.7,2009
23/08/2009,04/09/2009,13,41.3,2.1,45.0,108.9,2009
06/09/2009,22/09/2009,17,38.0,1.4,40.6,101.9,2009
24/09/2009,29/09/2009,6,39.2,2.1,41.1,98.4,2009
16/10/2009,18/10/2009,3,38.0,0.8,38.9,99.0,2009
30/05/2010,11/06/2010,13,38.7,2.5,42.2,98.5,2010
23/06/2010,25/06/2010,3,43.0,0.8,43.9,104.8,2010
28/06/2010,02/07/2010,5,43.5,0.8,44.4,110.3,2010
08/07/2010,10/07/2010,3,43.5,1.1,44.4,113.2,2010
13/07/2010,20/07/2010,8,43.2,0.8,44.4,116.2,2010
24/07/2010,30/07/2010,7,39.6,2.0,42.2,119.3,2010
11/08/2010,13/08/2010,3,42.9,0.6,43.3,109.8,2010
28/08/2010,08/09/2010,12,39.6,2.3,43.3,106.1,2010
11/09/2010,21/09/2010,11,40.0,2.0,42.8,103.0,2010
24/09/2010,04/10/2010,11,38.7,1.8,40.6,102.5,2010
04/05/2011,07/05/2011,4,36.4,0.4,36.7,92.5,2011
26/05/2011,28/05/2011,3,37.7,0.8,38.3,95.2,2011
21/06/2011,29/06/2011,9,43.6,1.0,45.6,107.5,2011
01/07/2011,03/07/2011,3,44.6,1.3,46.1,113.4,2011
22/08/2011,27/08/2011,6,44.6,1.0,46.1,116.1,2011
29/08/2011,01/09/2011,4,43.7,0.3,43.9,113.2,2011
16/09/2011,03/10/2011,18,38.4,1.8,41.7,98.8,2011
13/10/2011,19/10/2011,7,36.2,0.6,37.2,93.4,2011
20/04/2012,23/04/2012,4,38.0,1.8,39.4,96.2,2012
11/05/2012,24/05/2012,14,38.5,2.0,41.7,96.3,2012
17/06/2012,21/06/2012,5,42.7,0.7,43.9,104.6,2012
26/06/2012,01/07/2012,6,42.8,0.5,43.3,110.4,2012
05/07/2012,12/07/2012,8,41.6,2.7,44.4,111.4,2012
06/08/2012,14/08/2012,9,44.4,0.8,45.6,116.6,2012
18/08/2012,21/08/2012,4,38.9,1.5,40.6,115.0,2012
24/08/2012,06/09/2012,14,39.2,1.8,42.2,111.9,2012
15/09/2012,04/10/2012,20,37.9,1.6,40.6,99.0,2012
27/04/2013,30/04/2013,4,37.5,1.4,38.9,94.4,2013
12/05/2013,16/05/2013,5,38.1,1.3,39.4,96.2,2013
20/05/2013,25/05/2013,6,37.0,0.9,38.3,93.7,2013
