begin_date,end_date,duration,avg_tmax,std_tmax,max_tmax,avg_heat_index,year
31/05/2009,04/06/2009,5,29.6,2.7,32.2,85.2,2009
02/07/2009,05/07/2009,4,29.1,1.9,30.6,85.2,2009
15/07/2009,17/07/2009,3,29.8,2.3,31.7,88.6,2009
25/07/2009,03/08/2009,10,32.4,3.6,39.4,99.0,2009
17/08/2009,19/08/2009,3,28.9,1.5,30.6,86.8,2009
22/06/2010,24/06/2010,3,23.3,0.9,24.4,76.3,2010
06/07/2010,11/07/2010,6,29.3,4.8,35.0,87.0,2010
23/07/2010,27/07/2010,5,27.6,2.1,29.4,83.5,2010
02/08/2010,05/08/2010,4,25.4,2.5,28.3,80.0,2010
11/08/2010,17/08/2010,7,30.2,4.3,35.0,89.5,2010
23/08/2010,25/08/2010,3,27.0,3.3,29.4,82.3,2010
04/07/2011,06/07/2011,3,26.8,1.7,28.3,81.4,2011
28/07/2011,30/07/2011,3,25.0,0.6,25.6,78.8,2011
01/08/2011,04/08/2011,4,25.3,1.1,26.7,79.4,2011
19/08/2011,21/08/2011,3,28.1,2.2,29.4,85.2,2011
23/08/2011,28/08/2011,6,27.2,1.2,28.3,83.4,2011
03/09/2011,11/09/2011,9,28.4,0.8,29.4,85.4,2011
12/05/2012,14/05/2012,3,25.4,0.9,26.1,78.7,2012
06/07/2012,09/07/2012,4,25.7,1.6,27.8,79.7,2012
03/08/2012,06/08/2012,4,30.3,3.6,33.9,91.8,2012
10/08/2012,17/08/2012,8,29.9,2.7,33.9,89.2,2012
04/09/2012,08/09/2012,5,26.9,3.1,31.7,82.2,2012
28/06/2013,02/07/2013,5,30.2,2.2,33.3,91.7,2013
14/07/2013,16/07/2013,3,28.5,1.3,30.0,83.2,2013
23/07/2013,26/07/2013,4,30.3,0.4,30.6,89.0,2013
04/08/2013,09/08/2013,6,29.1,1.1,30.6,87.9,2013
31/08/2013,02/09/2013,3,27.4,0.3,27.8,83.6,2013
10/07/2014,16/07/2014,7,29.9,1.4,31.7,90.6,2014
27/07/2014,04/08/2014,9,29.7,1.6,32.2,87.4,2014
09/08/2014,12/08/2014,4,29.6,3.2,33.9,88.3,2014
25/08/2014,27/08/2014,3,29.4,1.5,31.1,87.9,2014
05/09/2014,07/09/2014,3,29.3,2.1,31.7,87.2,2014
13/09/2014,15/09/2014,3,29.2,0.9,30.0,85.0,2014
06/06/2015,09/06/2015,4,29.4,1.1,30.6,85.3,2015
25/06/2015,27/06/2015,3,31.3,1.7,33.3,91.4,2015
29/06/2015,06/07/2015,8,31.6,1.9,33.9,91.9,2015
28/07/2015,03/08/2015,7,31.4,2.9,34.4,89.8,2015
10/08/2015,13/08/2015,4,28.6,0.7,29.4,85.9,2015
